"datesold","price","bedrooms"
"2007-02-07 00:00:00",525000,"4"
"2007-02-27 00:00:00",290000,"3"
"2007-03-07 00:00:00",328000,"3"
"2007-03-09 00:00:00",380000,"4"
"2007-03-21 00:00:00",310000,"3"
"2007-04-04 00:00:00",465000,"4"
"2007-04-24 00:00:00",399000,"3"
"2007-04-30 00:00:00",1530000,"4"
"2007-05-24 00:00:00",359000,"3"
"2007-05-25 00:00:00",320000,"3"
"2007-06-26 00:00:00",385000,"3"
"2007-06-27 00:00:00",305000,"3"
"2007-06-27 00:00:00",850000,"4"
"2007-06-27 00:00:00",300000,"2"
"2007-06-28 00:00:00",765000,"4"
"2007-06-30 00:00:00",517000,"4"
"2007-07-02 00:00:00",800000,"5"
"2007-07-03 00:00:00",336000,"3"
"2007-07-05 00:00:00",300000,"2"
"2007-07-06 00:00:00",535000,"5"
"2007-07-07 00:00:00",900000,"4"
"2007-07-08 00:00:00",327000,"1"
"2007-07-12 00:00:00",427500,"3"
"2007-07-13 00:00:00",780000,"3"
"2007-07-18 00:00:00",530000,"3"
"2007-07-18 00:00:00",590000,"3"
"2007-07-19 00:00:00",480000,"3"
"2007-07-20 00:00:00",525000,"3"
"2007-07-20 00:00:00",549000,"4"
"2007-07-20 00:00:00",360000,"2"
"2007-07-21 00:00:00",1780000,"4"
"2007-07-30 00:00:00",446000,"3"
"2007-07-30 00:00:00",558000,"4"
"2007-07-31 00:00:00",506000,"3"
"2007-07-31 00:00:00",520000,"4"
"2007-08-03 00:00:00",383000,"3"
"2007-08-03 00:00:00",520000,"3"
"2007-08-07 00:00:00",815000,"5"
"2007-08-07 00:00:00",385000,"3"
"2007-08-09 00:00:00",405000,"3"
"2007-08-10 00:00:00",545500,"3"
"2007-08-10 00:00:00",760000,"3"
"2007-08-11 00:00:00",520000,"3"
"2007-08-11 00:00:00",636000,"3"
"2007-08-14 00:00:00",625000,"4"
"2007-08-16 00:00:00",790000,"4"
"2007-08-21 00:00:00",320000,"3"
"2007-08-21 00:00:00",418000,"5"
"2007-08-21 00:00:00",455000,"4"
"2007-08-23 00:00:00",560000,"4"
"2007-08-24 00:00:00",585000,"4"
"2007-08-28 00:00:00",325000,"2"
"2007-08-28 00:00:00",420000,"4"
"2007-08-29 00:00:00",599000,"3"
"2007-08-30 00:00:00",315000,"2"
"2007-08-30 00:00:00",367000,"3"
"2007-08-31 00:00:00",348000,"3"
"2007-08-31 00:00:00",532500,"4"
"2007-09-03 00:00:00",465000,"3"
"2007-09-04 00:00:00",820000,"4"
"2007-09-05 00:00:00",529000,"2"
"2007-09-06 00:00:00",590000,"3"
"2007-09-07 00:00:00",400000,"2"
"2007-09-11 00:00:00",559000,"4"
"2007-09-15 00:00:00",446000,"4"
"2007-09-18 00:00:00",470000,"3"
"2007-09-20 00:00:00",396500,"4"
"2007-09-20 00:00:00",479000,"3"
"2007-09-20 00:00:00",490000,"3"
"2007-09-21 00:00:00",1460000,"5"
"2007-09-22 00:00:00",500000,"4"
"2007-09-22 00:00:00",506000,"4"
"2007-09-22 00:00:00",520000,"4"
"2007-09-24 00:00:00",920000,"4"
"2007-09-24 00:00:00",220000,"2"
"2007-09-27 00:00:00",507000,"4"
"2007-09-27 00:00:00",340000,"2"
"2007-09-28 00:00:00",520000,"2"
"2007-10-02 00:00:00",475000,"3"
"2007-10-02 00:00:00",400000,"2"
"2007-10-09 00:00:00",397000,"3"
"2007-10-10 00:00:00",556000,"3"
"2007-10-12 00:00:00",447000,"4"
"2007-10-12 00:00:00",720000,"4"
"2007-10-12 00:00:00",410000,"2"
"2007-10-15 00:00:00",273000,"1"
"2007-10-16 00:00:00",368000,"3"
"2007-10-16 00:00:00",385000,"3"
"2007-10-17 00:00:00",560000,"5"
"2007-10-19 00:00:00",455000,"4"
"2007-10-19 00:00:00",480000,"4"
"2007-10-24 00:00:00",300500,"3"
"2007-10-24 00:00:00",505000,"3"
"2007-10-25 00:00:00",135500,"1"
"2007-10-25 00:00:00",590000,"4"
"2007-10-25 00:00:00",645000,"5"
"2007-10-25 00:00:00",770000,"4"
"2007-10-26 00:00:00",1100000,"5"
"2007-11-02 00:00:00",365000,"3"
"2007-11-02 00:00:00",612500,"4"
